; Quintessential Latin 0.240; proposed private-use allocation, not a registration.
F2A00	QUINTESSENTIAL LATIN LETTER BOWL
F2B7C	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND LONG STEM
F2B7D	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND SPINE AND LONG TAIL
F2B7E	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND STEM
F2B7F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND DESCENDER
F2B80	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND TAIL
F2B81	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND ASCENDER
F2B82	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND LONG STEM
F2B83	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND SPINE AND LONG TAIL
F2B84	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND STEM
F2B85	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND DESCENDER
F2B86	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND TAIL
F2B87	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND ASCENDER
F2B88	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND LONG STEM
F2B89	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND SPINE AND LONG TAIL
F2B8A	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND STEM
F2B8B	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND DESCENDER
F2B8C	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND TAIL
F2B8D	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND ASCENDER
F2B8E	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND LONG STEM
F2B8F	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND SPINE AND LONG TAIL
F2B90	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND STEM
F2B91	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND DESCENDER
F2B92	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND TAIL
F2B93	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND ASCENDER
F2B94	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND LONG STEM
F2B95	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND SPINE AND LONG TAIL
F2B96	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND STEM
F2B97	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND DESCENDER
F2B98	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND TAIL
F2B99	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND ASCENDER
F2B9A	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND LONG STEM
F2B9B	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND SPINE AND LONG TAIL
F2B9C	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND STEM
F2B9D	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND DESCENDER
F2B9E	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND TAIL
F2B9F	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND ASCENDER
F2BA0	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND LONG STEM
F2BA1	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND SPINE AND LONG TAIL
F2BA2	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND STEM
F2BA3	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND DESCENDER
F2BA4	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND TAIL
F2BA5	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND ASCENDER
F2BA6	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND LONG STEM
F2BA7	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH SPINE AND LONG TAIL
F2BA8	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND STEM
F2BA9	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND DESCENDER
F2BAA	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND TAIL
F2BAB	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND ASCENDER
F2BAC	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND LONG STEM
F2BAD	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND SPINE AND LONG TAIL
F2BAE	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND STEM
F2BAF	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND DESCENDER
F2BB0	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND TAIL
F2BB1	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND ASCENDER
F2BB2	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND LONG STEM
F2BB3	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND SPINE AND LONG TAIL
F2BB4	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO STEMS
F2BB5	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM AND DESCENDER
F2BB6	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM AND TAIL
F2BB7	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM AND ASCENDER
F2BB8	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM AND LONG STEM
F2BB9	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM AND LONG TAIL
F2BBA	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO STEMS
F2BBB	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM AND DESCENDER
F2BBC	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM AND TAIL
F2BBD	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM AND ASCENDER
F2BBE	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM AND LONG STEM
F2BBF	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM AND LONG TAIL
F2BC0	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO STEMS
F2BC1	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM AND DESCENDER
F2BC2	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM AND TAIL
F2BC3	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM AND ASCENDER
F2BC4	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM AND LONG STEM
F2BC5	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM AND LONG TAIL
F2BC6	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO STEMS
F2BC7	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM AND DESCENDER
F2BC8	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM AND TAIL
F2BC9	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM AND ASCENDER
F2BCA	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM AND LONG STEM
F2BCB	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND STEM AND LONG TAIL
F2BCC	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO STEMS
F2BCD	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM AND DESCENDER
F2BCE	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM AND TAIL
F2BCF	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM AND ASCENDER
F2BD0	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM AND LONG STEM
F2BD1	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND STEM AND LONG TAIL
F2BD2	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO STEMS
F2BD3	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM AND DESCENDER
F2BD4	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM AND TAIL
F2BD5	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM AND ASCENDER
F2BD6	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM AND LONG STEM
F2BD7	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND STEM AND LONG TAIL
F2BD8	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER AND STEM
F2BD9	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER AND DESCENDER
F2BDA	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER AND TAIL
F2BDB	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND TWO ASCENDERS
F2BDC	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER AND LONG STEM
F2BDD	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER AND LONG TAIL
F2BDE	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER AND STEM
F2BDF	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER AND DESCENDER
F2BE0	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER AND TAIL
F2BE1	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND TWO ASCENDERS
F2BE2	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER AND LONG STEM
F2BE3	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER AND LONG TAIL
F2BE4	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER AND STEM
F2BE5	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER AND DESCENDER
F2BE6	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER AND TAIL
F2BE7	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND TWO ASCENDERS
F2BE8	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER AND LONG STEM
F2BE9	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER AND LONG TAIL
F2BEA	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER AND STEM
F2BEB	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER AND DESCENDER
F2BEC	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER AND TAIL
F2BED	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND TWO ASCENDERS
F2BEE	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER AND LONG STEM
F2BEF	QUINTESSENTIAL LATIN LETTER DESCENDER WITH SPINE AND ASCENDER AND LONG TAIL
F2BF0	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER AND STEM
F2BF1	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER AND DESCENDER
F2BF2	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER AND TAIL
F2BF3	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND TWO ASCENDERS
F2BF4	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER AND LONG STEM
F2BF5	QUINTESSENTIAL LATIN LETTER LONG STEM WITH SPINE AND ASCENDER AND LONG TAIL
F2BF6	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER AND STEM
F2BF7	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER AND DESCENDER
F2BF8	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER AND TAIL
F2BF9	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND TWO ASCENDERS
F2BFA	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER AND LONG STEM
F2BFB	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH SPINE AND ASCENDER AND LONG TAIL
F2C00	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH SHOULDER
F2C01	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND SHOULDER
F2C02	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND SHOULDER
F2C03	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND SHOULDER
F2C04	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND SHOULDER
F2C05	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND SHOULDER
F2C06	QUINTESSENTIAL LATIN LETTER HIP WITH THREE STEMS
F2C07	QUINTESSENTIAL LATIN LETTER HIP WITH TWO STEMS AND DESCENDER
F2C08	QUINTESSENTIAL LATIN LETTER HIP WITH TWO STEMS AND TAIL
F2C09	QUINTESSENTIAL LATIN LETTER HIP WITH TWO STEMS AND ASCENDER
F2C0A	QUINTESSENTIAL LATIN LETTER HIP WITH TWO STEMS AND LONG STEM
F2C0B	QUINTESSENTIAL LATIN LETTER HIP WITH TWO STEMS AND LONG TAIL
F2C0C	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND SHOULDER
F2C0D	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND SHOULDER
F2C0E	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND SHOULDER
F2C0F	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH SHOULDER
F2C10	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND SHOULDER
F2C11	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND SHOULDER
F2C12	QUINTESSENTIAL LATIN LETTER HIP WITH TWO ASCENDERS AND STEM
F2C13	QUINTESSENTIAL LATIN LETTER HIP WITH TWO ASCENDERS AND DESCENDER
F2C14	QUINTESSENTIAL LATIN LETTER HIP WITH TWO ASCENDERS AND TAIL
F2C15	QUINTESSENTIAL LATIN LETTER HIP WITH THREE ASCENDERS
F2C16	QUINTESSENTIAL LATIN LETTER HIP WITH TWO ASCENDERS AND LONG STEM
F2C17	QUINTESSENTIAL LATIN LETTER HIP WITH TWO ASCENDERS AND LONG TAIL
F2C18	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH BOWL
F2C19	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND BOWL
F2C1A	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND BOWL
F2C1B	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND BOWL
F2C1C	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND BOWL
F2C1D	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND BOWL
F2C1E	QUINTESSENTIAL LATIN LETTER BOWL WITH THREE STEMS
F2C1F	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO STEMS AND DESCENDER
F2C20	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO STEMS AND TAIL
F2C21	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO STEMS AND ASCENDER
F2C22	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO STEMS AND LONG STEM
F2C23	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO STEMS AND LONG TAIL
F2C24	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND BOWL
F2C25	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND BOWL
F2C26	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND BOWL
F2C27	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH BOWL
F2C28	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND BOWL
F2C29	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND BOWL
F2C2A	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO ASCENDERS AND STEM
F2C2B	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO ASCENDERS AND DESCENDER
F2C2C	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO ASCENDERS AND TAIL
F2C2D	QUINTESSENTIAL LATIN LETTER BOWL WITH THREE ASCENDERS
F2C2E	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO ASCENDERS AND LONG STEM
F2C2F	QUINTESSENTIAL LATIN LETTER BOWL WITH TWO ASCENDERS AND LONG TAIL
F2C30	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH LEG
F2C31	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND LEG
F2C32	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND LEG
F2C33	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND LEG
F2C34	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND LEG
F2C35	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND LEG
F2C36	QUINTESSENTIAL LATIN LETTER ARM WITH THREE STEMS
F2C37	QUINTESSENTIAL LATIN LETTER ARM WITH TWO STEMS AND DESCENDER
F2C38	QUINTESSENTIAL LATIN LETTER ARM WITH TWO STEMS AND TAIL
F2C39	QUINTESSENTIAL LATIN LETTER ARM WITH TWO STEMS AND ASCENDER
F2C3A	QUINTESSENTIAL LATIN LETTER ARM WITH TWO STEMS AND LONG STEM
F2C3B	QUINTESSENTIAL LATIN LETTER ARM WITH TWO STEMS AND LONG TAIL
F2C3C	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND LEG
F2C3D	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND LEG
F2C3E	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND LEG
F2C3F	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH LEG
F2C40	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND LEG
F2C41	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND LEG
F2C42	QUINTESSENTIAL LATIN LETTER ARM WITH TWO ASCENDERS AND STEM
F2C43	QUINTESSENTIAL LATIN LETTER ARM WITH TWO ASCENDERS AND DESCENDER
F2C44	QUINTESSENTIAL LATIN LETTER ARM WITH TWO ASCENDERS AND TAIL
F2C45	QUINTESSENTIAL LATIN LETTER ARM WITH THREE ASCENDERS
F2C46	QUINTESSENTIAL LATIN LETTER ARM WITH TWO ASCENDERS AND LONG STEM
F2C47	QUINTESSENTIAL LATIN LETTER ARM WITH TWO ASCENDERS AND LONG TAIL
F2C48	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH LONG LEG
F2C49	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND LONG LEG
F2C4A	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND LONG LEG
F2C4B	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND LONG LEG
F2C4C	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND LONG LEG
F2C4D	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND LONG LEG
F2C4E	QUINTESSENTIAL LATIN LETTER LONG ARM WITH THREE STEMS
F2C4F	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO STEMS AND DESCENDER
F2C50	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO STEMS AND TAIL
F2C51	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO STEMS AND ASCENDER
F2C52	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO STEMS AND LONG STEM
F2C53	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO STEMS AND LONG TAIL
F2C54	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND LONG LEG
F2C55	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND LONG LEG
F2C56	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND LONG LEG
F2C57	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH LONG LEG
F2C58	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND LONG LEG
F2C59	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND LONG LEG
F2C5A	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO ASCENDERS AND STEM
F2C5B	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO ASCENDERS AND DESCENDER
F2C5C	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO ASCENDERS AND TAIL
F2C5D	QUINTESSENTIAL LATIN LETTER LONG ARM WITH THREE ASCENDERS
F2C5E	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO ASCENDERS AND LONG STEM
F2C5F	QUINTESSENTIAL LATIN LETTER LONG ARM WITH TWO ASCENDERS AND LONG TAIL
F2C60	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH LONG OPEN BOWL
F2C61	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND LONG OPEN BOWL
F2C62	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND LONG OPEN BOWL
F2C63	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND LONG OPEN BOWL
F2C64	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND LONG OPEN BOWL
F2C65	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND LONG OPEN BOWL
F2C66	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH THREE STEMS
F2C67	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH TWO STEMS AND DESCENDER
F2C68	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH TWO STEMS AND TAIL
F2C69	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH TWO STEMS AND ASCENDER
F2C6A	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH TWO STEMS AND LONG STEM
F2C6B	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH TWO STEMS AND LONG TAIL
F2C6C	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND LONG BOWL
F2C6D	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND LONG BOWL
F2C6E	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND LONG BOWL
F2C6F	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND LONG BOWL
F2C70	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND LONG BOWL
F2C71	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND LONG BOWL
F2C72	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM AND ASCENDER AND STEM
F2C73	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM AND ASCENDER AND DESCENDER
F2C74	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM AND ASCENDER AND TAIL
F2C75	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM AND TWO ASCENDERS
F2C76	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM AND ASCENDER AND LONG STEM
F2C77	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH STEM AND ASCENDER AND LONG TAIL
F2C78	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH DOUBLE BOWL
F2C79	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND DOUBLE BOWL
F2C7A	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND DOUBLE BOWL
F2C7B	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND DOUBLE BOWL
F2C7C	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND DOUBLE BOWL
F2C7D	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND DOUBLE BOWL
F2C7E	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH THREE STEMS
F2C7F	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO STEMS AND DESCENDER
F2C80	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO STEMS AND TAIL
F2C81	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO STEMS AND ASCENDER
F2C82	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO STEMS AND LONG STEM
F2C83	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO STEMS AND LONG TAIL
F2C84	QUINTESSENTIAL LATIN LETTER STEM WITH TWO DESCENDERS AND DOUBLE BOWL
F2C85	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO DESCENDERS AND DOUBLE BOWL
F2C86	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO DESCENDERS AND DOUBLE BOWL
F2C87	QUINTESSENTIAL LATIN LETTER THREE DESCENDERS WITH DOUBLE BOWL
F2C88	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO DESCENDERS AND DOUBLE BOWL
F2C89	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO DESCENDERS AND DOUBLE BOWL
F2C8A	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO ASCENDERS AND STEM
F2C8B	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO ASCENDERS AND DESCENDER
F2C8C	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO ASCENDERS AND TAIL
F2C8D	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH THREE ASCENDERS
F2C8E	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO ASCENDERS AND LONG STEM
F2C8F	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH TWO ASCENDERS AND LONG TAIL
F2C90	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH SPINE
F2C91	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND SPINE
F2C92	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND SPINE
F2C93	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND SPINE
